example,defectAxiom
ore_ont_9400.owl,SubClassOf(<http://purl.org/obo/owl/GO#GO_0030598> <http://purl.org/obo/owl/GO#GO_0016799>)
ore_ont_12161.owl,SubClassOf(<http://purl.obolibrary.org/obo/MP_0009982> <http://purl.obolibrary.org/obo/MP_0000841>)
ore_ont_5927.owl,SubClassOf(<http://purl.obolibrary.org/obo/FMA_7205> <http://purl.obolibrary.org/obo/FMA_55661>)
ore_ont_15696.owl,SubClassOf(<http://purl.obolibrary.org/obo/VTO_0055095> <http://purl.obolibrary.org/obo/VTO_0055064>)
ore_ont_15929.owl,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_63526> <http://purl.obolibrary.org/obo/CHEBI_23906>)
ore_ont_15388.owl,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_38058> <http://purl.obolibrary.org/obo/CHEBI_50893>)
ore_ont_10175.owl,SubClassOf(<http://purl.obolibrary.org/obo/GO_0033482> <http://purl.obolibrary.org/obo/GO_0019586>)
ore_ont_12387.owl,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSG00000128272> <http://purl.obolibrary.org/obo/ENSEMBL_ENSFM00500000271462>)
ore_ont_11395.owl,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00316393> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/57dc1631-dc30-4405-8c59-c6af4b1e4221_gaz.obo#partial_overlaps> <http://purl.obolibrary.org/obo/GAZ_00316323>))
ore_ont_11519.owl,SubClassOf(<http://purl.obolibrary.org/obo/FMA_54259> <http://purl.obolibrary.org/obo/FMA_67538>)
ore_ont_6207.owl,SubClassOf(<http://purl.obolibrary.org/obo/ID_0000035> <http://purl.obolibrary.org/obo/ID_0000003>)
ore_ont_10689.owl,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_662867> <http://purl.obolibrary.org/obo/NCBITaxon_48283>)
ore_ont_9674.owl,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_681203> <http://purl.obolibrary.org/obo/NCBITaxon_9149>)
ore_ont_13224.owl,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_49103> <http://purl.obolibrary.org/obo/CHEBI_75768>)
ore_ont_9499.owl,SubClassOf(<http://purl.org/obo/owl/GO#GO_0034281> <http://purl.org/obo/owl/GO#GO_0016838>)
ore_ont_14042.owl,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00053699> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/gaz.gazetteer.13.orig#located_in> <http://purl.obolibrary.org/obo/GAZ_00053685>))
ore_ont_8486.owl,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_54897> <http://purl.obolibrary.org/obo/NCBITaxon_34404>)
ore_ont_3560.owl,SubClassOf(<http://purl.org/obo/owl/GAZ#GAZ_00136463> ObjectSomeValuesFrom(<http://purl.org/obo/owl/obo#located_in> <http://purl.org/obo/owl/GAZ#GAZ_00012375>))
ore_ont_868.owl,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_1091225> <http://purl.obolibrary.org/obo/NCBITaxon_98462>)
ore_ont_13355.owl,SubClassOf(<http://sadi-ontology.semanticscience.org#C050102> <http://sadi-ontology.semanticscience.org#D20.215.894.899.779.500>)
ore_ont_6722.owl,SubClassOf(<http://purl.obolibrary.org/obo/NCBIGene_100486624> <http://purl.obolibrary.org/obo/ENSEMBL_ENSFM00250000006723>)
ore_ont_2803.owl,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_25371> <http://purl.obolibrary.org/obo/CHEBI_25370>)
ore_ont_4617.owl,SubClassOf(<http://purl.obolibrary.org/obo/PR_000036453> <http://purl.obolibrary.org/obo/PR_000000265>)
ore_ont_10778.owl,SubClassOf(<http://purl.obolibrary.org/obo/GO_0017023> <http://purl.obolibrary.org/obo/GO_1903293>)
ore_ont_2828.owl,SubClassOf(<http://purl.obolibrary.org/obo/PR_000012583RELAPPROXQ5> <http://purl.obolibrary.org/obo/PR_000012583RELAPPROXQ3>)
ore_ont_14934.owl,SubClassOf(<http://purl.obolibrary.org/obo/SO_0000794> <http://www.absoluteiri.edu/RELAPPROXC34507>)
ore_ont_11739.owl,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSMUSG00000042050> <http://purl.obolibrary.org/obo/UBERON_0000915-OMEO-0000001>)
ore_ont_9498.owl,SubClassOf(<http://phenomebrowser.net/ontologies/mesh/mesh.owl#C086610> <http://phenomebrowser.net/ontologies/mesh/mesh.owl#D25.339.291.950>)
ore_ont_16008.owl,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_641981> <http://purl.obolibrary.org/obo/NCBITaxon_481849>)
ore_ont_6076.owl,SubClassOf(<http://purl.obolibrary.org/obo/GO_1902487> <http://purl.obolibrary.org/obo/GO_0033036>)
ore_ont_13243.owl,SubClassOf(<http://purl.obolibrary.org/obo/GO_0003418> <http://purl.obolibrary.org/obo/GO_0002062>)
ore_ont_3524.owl,SubClassOf(<http://purl.obolibrary.org/obo/GO_0007043> <http://purl.obolibrary.org/obo/GO_0034329>)
ore_ont_10248.owl,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_30068> <http://purl.obolibrary.org/obo/CHEBI_36295>)
ore_ont_11293.owl,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_63031> <http://purl.obolibrary.org/obo/CHEBI_63034>)
