Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
9466,9252,120.77,1,1.29,SubClassOf(<http://purl.obolibrary.org/obo/PORO_0000585> <http://purl.obolibrary.org/obo/PORO_0000098>),0,ore_ont_3349.owl,1732,9326,2,9262
7415,7185,117.18,1,1.61,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_SPBC685.02> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-4896_II>)),0,ore_ont_12776.owl,14101,7287,1,7261
Timeout,Timeout,0.00,46,0.00,SubClassOf(<http://dbpedia.org/ontology/Eukaryote> ObjectSomeValuesFrom(<http://www.ontologydesignpatterns.org/ekp/owl/Eukaryote.owl#linksToPlant> <http://dbpedia.org/ontology/Plant>)),1,ore_ont_11978.owl,727,90001,3,Timeout
17788,18101,319.02,1,1.79,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-030429-12> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0000079>))),0,ore_ont_5760.owl,193976,17784,1,17463
10810,10615,98.22,1,0.92,SubClassOf(<http://www.aiai.ed.ac.uk/resources/go/cell.owl#CL.0000135> <http://www.aiai.ed.ac.uk/resources/go/cell.owl#CL.0000134>),0,ore_ont_4400.owl,1909,10719,2,10733
7729,7473,157.85,1,2.09,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC21> owl:Thing),0,ore_ont_8974.owl,157,7547,0,7441
35723,35880,3099.34,1,9.11,SubClassOf(<http://purl.org/obo/owl/GO#GO_0016430> <http://purl.org/obo/owl/GO#GO_0008757>),0,ore_ont_9400.owl,350614,34012,2,30435
9107,9281,87.23,1,0.95,SubClassOf(<http://purl.obolibrary.org/obo/EO_0007310> <http://purl.obolibrary.org/obo/EO_0007532>),0,ore_ont_13234.owl,1094,9190,2,9183
10071,10011,188.88,1,1.86,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSMUSG00000035458> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/MP_0005202>)),0,ore_ont_7343.owl,177005,10148,1,10364
9486,9558,44.06,1,0.46,SubClassOf(<http://purl.obolibrary.org/obo/MP_0008810> <http://purl.obolibrary.org/obo/MP_0001765>),0,ore_ont_12161.owl,21582,9507,4,9478
