Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
8343,8084,148.68,1,1.82,SubClassOf(<http://purl.obolibrary.org/obo/PORO_0000554> <http://www.absoluteiri.edu/RELAPPROXC909>),0,ore_ont_3349.owl,1732,8171,3,8087
6003,6009,3.21,1,0.05,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_SPBC947.15c> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-4896_II>)),0,ore_ont_12776.owl,14101,6005,1,6004
Timeout,Timeout,0.00,46,0.00,SubClassOf(<http://dbpedia.org/ontology/Eukaryote> <http://dbpedia.org/ontology/Scientist>),0,ore_ont_11978.owl,727,120001,2,Timeout
6003,6003,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-980526-524> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0048741>))),0,ore_ont_5760.owl,193976,6003,1,6003
8107,8083,15.87,1,0.20,SubClassOf(<http://www.aiai.ed.ac.uk/resources/go/cell.owl#CL.0000025> <http://www.aiai.ed.ac.uk/resources/go/cell.owl#CL.0000414>),0,ore_ont_4400.owl,1909,8089,3,8077
6003,6002,0.58,1,0.01,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC21> owl:Thing),0,ore_ont_8974.owl,157,6002,0,6003
22165,21438,364.29,1,1.67,SubClassOf(<http://purl.org/obo/owl/GO#GO_0061186> <http://purl.org/obo/owl/GO#GO_0060969>),0,ore_ont_9400.owl,350614,21787,2,21760
8914,8728,131.08,1,1.50,SubClassOf(<http://purl.obolibrary.org/obo/EO_0001052> <http://purl.obolibrary.org/obo/EO_0007046>),0,ore_ont_13234.owl,1094,8767,2,8661
6003,6003,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSMUSG00000020473> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/MP_0000477>)),0,ore_ont_7343.owl,177005,6002,1,6002
8951,9573,328.09,1,3.57,SubClassOf(<http://purl.obolibrary.org/obo/MP_0009596> <http://purl.obolibrary.org/obo/MP_0001216>),0,ore_ont_12161.owl,21582,9201,2,9081
8003,8003,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/RGD_620937> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0032137>))),0,ore_ont_1306.owl,401194,8003,1,8003
6075,6038,21.66,1,0.36,SubClassOf(<http://purl.org/obo/owl/DOID#DOID_4035> <http://purl.org/obo/owl/DOID#DOID_4029>),0,ore_ont_544.owl,3800,6050,1,6037
9737,9517,119.53,1,1.24,SubClassOf(<http://doe-generated-ontology.com/OntoAD#C0562318> <http://doe-generated-ontology.com/OntoAD#C0189573>),0,ore_ont_9792.owl,25356,9654,2,9708
12211,12337,120.54,1,0.98,SubClassOf(<http://purl.obolibrary.org/obo/FMA_11440> <http://purl.obolibrary.org/obo/FMA_6043>),0,ore_ont_5927.owl,200696,12333,2,12452
9533,9495,19.22,1,0.20,SubClassOf(<http://purl.obolibrary.org/obo/HAO_0000802> <http://purl.obolibrary.org/obo/HAO_0000054>),0,ore_ont_3635.owl,3096,9515,2,9519
6003,6003,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB_F1N8W0> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0005737>))),0,ore_ont_5602.owl,151361,6003,1,6003
8004,6002,1155.86,1,17.33,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_F55G11.2> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-6239_IV>)),0,ore_ont_16684.owl,90930,6669,1,6002
9870,9624,136.87,1,1.41,SubClassOf(<http://ontology.neuinfo.org/NIF/BiomaterialEntities/NIF-Cell.owl#sao1615912903> <http://ontology.neuinfo.org/NIF/BiomaterialEntities/NIF-Cell.owl#sao3593465546>),0,ore_ont_6796.owl,527,9712,2,9643
6003,6002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_AT5G36297> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-3702_5>)),0,ore_ont_15099.owl,67212,6002,1,6002
