Iteration 1,Iteration 2,Axiom Count,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Module Axiom Count,Average Runtime,Max Justification Size,Iteration 3
9239,9259,1732,13.61,1,0.15,SubClassOf(<http://purl.obolibrary.org/obo/PORO_0000583> <http://www.absoluteiri.edu/RELAPPROXC1249>),0,ore_ont_3349.owl,125,9243,6,9233
7180,7189,14101,30.07,1,0.42,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_SPCC18.15> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-4896_III>)),0,ore_ont_12776.owl,4,7167,1,7133
6929,6870,727,32.23,1,0.47,SubClassOf(<http://dbpedia.org/ontology/Scientist> ObjectSomeValuesFrom(<http://www.ontologydesignpatterns.org/ekp/owl/Eukaryote.owl#linksToGrape> <http://dbpedia.org/ontology/Grape>)),0,ore_ont_11978.owl,280,6892,1,6877
13106,13163,193976,114.74,1,0.88,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-090612-2> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0042162>))),0,ore_ont_5760.owl,178225,13070,1,12942
9125,9168,1909,22.34,1,0.24,SubClassOf(<http://www.aiai.ed.ac.uk/resources/go/cell.owl#CL.0000139> <http://www.aiai.ed.ac.uk/resources/go/cell.owl#CL.0000151>),0,ore_ont_4400.owl,7,9143,3,9136
6860,6812,157,26.39,1,0.39,SubClassOf(<http://rs.tdwg.org/ontology/voc/OccurrenceRecord#Identification> owl:Thing),0,ore_ont_8974.owl,1,6829,0,6817
27235,27590,350614,756.94,1,2.80,SubClassOf(<http://purl.org/obo/owl/GO#GO_0030598> <http://purl.org/obo/owl/GO#GO_0016799>),0,ore_ont_9400.owl,5,26987,2,26138
9096,9101,1094,33.87,1,0.37,SubClassOf(<http://purl.obolibrary.org/obo/EO_0007379> <http://purl.obolibrary.org/obo/EO_0007233>),0,ore_ont_13234.owl,5,9118,2,9157
8252,8647,177005,201.77,1,2.39,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSMUSG00000022479> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/MP_0000133>)),0,ore_ont_7343.owl,300,8425,1,8378
11671,9522,21582,1216.93,1,11.85,SubClassOf(<http://purl.obolibrary.org/obo/MP_0009982> <http://purl.obolibrary.org/obo/MP_0000841>),0,ore_ont_12161.owl,11,10266,5,9607
17832,17840,401194,237.32,1,1.32,SubClassOf(<http://purl.obolibrary.org/obo/RGD_3595> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0015935>))),0,ore_ont_1306.owl,401194,17973,1,18247
7161,7135,3800,36.46,1,0.51,SubClassOf(<http://purl.org/obo/owl/DOID#DOID_6491> <http://purl.org/obo/owl/DOID#DOID_476>),0,ore_ont_544.owl,8,7128,1,7089
9564,9576,25356,28.92,1,0.30,SubClassOf(<http://doe-generated-ontology.com/OntoAD#C0446987> <http://doe-generated-ontology.com/OntoAD#C0230130>),0,ore_ont_9792.owl,7,9553,3,9521
17704,18384,200696,362.55,1,2.00,SubClassOf(<http://purl.obolibrary.org/obo/FMA_7205> <http://purl.obolibrary.org/obo/FMA_55661>),0,ore_ont_5927.owl,7,18116,3,18262
9190,9229,3096,29.14,1,0.32,SubClassOf(<http://purl.obolibrary.org/obo/HAO_0000283> <http://purl.obolibrary.org/obo/HAO_0000024>),0,ore_ont_3635.owl,22,9197,3,9172
12287,10050,151361,1339.47,1,12.47,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB_F1P0E4> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0005741>))),0,ore_ont_5602.owl,151361,10743,1,9892
7957,7961,90930,15.14,1,0.19,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_C43C3.8> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-6239_X>)),0,ore_ont_16684.owl,4,7967,1,7985
9113,9124,527,14.11,1,0.15,SubClassOf(<http://ontology.neuinfo.org/NIF/BiomaterialEntities/NIF-Cell.owl#sao1540081501> <http://ontology.neuinfo.org/NIF/BiomaterialEntities/NIF-Cell.owl#sao197110912>),0,ore_ont_6796.owl,5,9126,2,9141
7743,7949,67212,131.64,1,1.69,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_AT3G26490> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-3702_3>)),0,ore_ont_15099.owl,4,7798,1,7704
7226,7291,19156,39.37,1,0.54,SubClassOf(<http://purl.obolibrary.org/obo/WBbt_0002838> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/WBbt_0004967>)),0,ore_ont_13000.owl,98,7245,1,7220
7761,7723,64637,70.73,1,0.92,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSDARG00000088294> <http://purl.obolibrary.org/obo/SO_0001217>),0,ore_ont_16687.owl,3,7702,1,7624
8312,8540,183517,260.66,1,3.04,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSMUSG00000027671> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/UBERON_0002107>)),0,ore_ont_8145.owl,90,8561,1,8832
7409,7459,32270,48.51,1,0.65,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSPMAG00000007635> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-7757_GL487559>)),0,ore_ont_15178.owl,4,7458,1,7506
9134,9185,1835,34.21,1,0.37,SubClassOf(<http://www.text2onto.org/ontology#g_cell> <http://www.text2onto.org/ontology#endocrine_cell>),0,ore_ont_12831.owl,5,9172,2,9199
8149,7930,77279,110.20,1,1.37,SubClassOf(<http://purl.obolibrary.org/obo/TTO_1027912> <http://purl.obolibrary.org/obo/TTO_101410>),0,ore_ont_7493.owl,3,8032,1,8018
9205,9201,2333,8.89,1,0.10,SubClassOf(<http://doe-generated-ontology.com/OntoPneumo#AttributDirectPhysique> <http://doe-generated-ontology.com/OntoPneumo#Attribut>),0,ore_ont_12009.owl,7,9208,3,9218
10163,12461,165547,1314.51,1,11.25,SubClassOf(<http://purl.obolibrary.org/obo/FB_FBgn0069936> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002162> <http://purl.obolibrary.org/obo/NCBITaxon_7227>)),0,ore_ont_14216.owl,165547,11680,1,12418
9198,9269,1780,37.80,1,0.41,SubClassOf(<http://purl.obolibrary.org/obo/MPATH_754> <http://purl.obolibrary.org/obo/MPATH_41>),0,ore_ont_14901.owl,5,9241,2,9256
16379,14727,213790,914.06,1,5.79,SubClassOf(<http://purl.obolibrary.org/obo/VTO_0055095> <http://purl.obolibrary.org/obo/VTO_0055064>),0,ore_ont_15696.owl,5,15779,2,16231
9139,9169,687,15.04,1,0.16,SubClassOf(<http://purl.obolibrary.org/obo/UO_0000118> <http://purl.obolibrary.org/obo/UO_0000157>),0,ore_ont_4767.owl,5,9153,2,9152
7027,7083,161,29.87,1,0.42,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC44> <http://www.absoluteiri.edu/RELAPPROXC33>),0,ore_ont_8937.owl,3,7049,1,7037
9084,9153,535,36.47,1,0.40,SubClassOf(<http://purl.obolibrary.org/obo/APO_0000195> <http://purl.obolibrary.org/obo/APO_0000084>),0,ore_ont_15576.owl,5,9125,2,9139
9494,9460,19525,39.11,1,0.41,SubClassOf(<http://purl.obolibrary.org/obo/MP_0004925> <http://purl.obolibrary.org/obo/MP_0001963>),0,ore_ont_10389.owl,5,9456,2,9416
11986,11590,19225,230.38,1,1.97,SubClassOf(<http://purl.obolibrary.org/obo/FBbt_02000004> <http://purl.obolibrary.org/obo/FBbt_00007367>),0,ore_ont_14280.owl,470,11720,8,11584
28047,27544,1928386,339.69,1,1.23,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSMUSG00000068614> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/UBERON_0002137>)),0,ore_ont_3836.owl,304,27663,1,27400
15271,15207,160026,173.87,1,1.15,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_63526> <http://purl.obolibrary.org/obo/CHEBI_23906>),0,ore_ont_15929.owl,7,15140,3,14943
7155,7098,2272,29.14,1,0.41,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC690> <http://www.absoluteiri.edu/RELAPPROXC557>),0,ore_ont_1481.owl,1600,7130,1,7137
10599,10789,459568,134.13,1,1.26,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSG00000124783> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_00022060> <http://purl.obolibrary.org/obo/UBERON_0001004>)),0,ore_ont_10445.owl,120,10639,1,10530
10275,10233,74843,1155.47,1,10.58,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_38058> <http://purl.obolibrary.org/obo/CHEBI_50893>),0,ore_ont_15388.owl,5,10921,2,12255
7593,7402,42908,96.81,1,1.29,SubClassOf(<http://purl.obolibrary.org/obo/FMA_15789> <http://purl.obolibrary.org/obo/FMA_3717>),0,ore_ont_7716.owl,3,7488,1,7470
9216,9273,4599,28.57,1,0.31,SubClassOf(<http://purl.obolibrary.org/obo/TGMA_0000640> <http://purl.obolibrary.org/obo/TGMA_0001846>),0,ore_ont_2440.owl,7,9245,3,9248
10028,10043,146260,1213.90,1,11.31,SubClassOf(<http://purl.obolibrary.org/obo/FB_FBgn0024887> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0003676>))),0,ore_ont_4557.owl,146260,10736,1,12138
7440,7536,48845,52.78,1,0.71,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB#_Q9SSF8> <http://purl.obolibrary.org/obo/PR_000000001>),0,ore_ont_4235.owl,3,7475,1,7450
7088,7169,1525,42.04,1,0.59,SubClassOf(<http://purl.obolibrary.org/obo/GO_0030317> <http://purl.obolibrary.org/obo/GO_0006928>),0,ore_ont_457.owl,5,7135,1,7148
9285,9275,4284,22.50,1,0.24,SubClassOf(<http://purl.obolibrary.org/obo/AAO_0010567> <http://purl.obolibrary.org/obo/AAO_0010015>),0,ore_ont_9598.owl,5,9292,2,9318
7676,7693,44839,21.13,1,0.28,SubClassOf(<http://purl.obolibrary.org/obo/MGI_MGI%3A102952> <http://purl.obolibrary.org/obo/PANTHER_PTHR11255>),0,ore_ont_9513.owl,3,7673,1,7651
8027,7987,102336,34.18,1,0.43,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSDARG00000058287> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_00022060> <http://purl.obolibrary.org/obo/UBERON_0002050>)),0,ore_ont_8557.owl,16,8023,1,8055
9432,9483,15081,28.62,1,0.30,SubClassOf(<http://purl.obolibrary.org/obo/VT_0002648> <http://purl.obolibrary.org/obo/VT_0000452>),0,ore_ont_6198.owl,42,9450,4,9435
7184,7078,14372,55.94,1,0.78,SubClassOf(<http://www.xspan.org/obo.owl#EMAPA.16752> <http://www.xspan.org/obo.owl#XUO.0000004>),0,ore_ont_1555.owl,3,7141,1,7162
7428,7349,35517,50.50,1,0.69,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB_Q9R0Z9> <http://purl.obolibrary.org/obo/PR_000006505>),0,ore_ont_9590.owl,3,7370,1,7334
15220,15017,128846,162.36,2,1.08,SubClassOf(<http://purl.obolibrary.org/obo/GO_0033482> <http://purl.obolibrary.org/obo/GO_0019586>),0,ore_ont_10175.owl,8,15045,2,14899
11419,11400,11677,37.87,2,0.33,SubClassOf(<http://sweet.jpl.nasa.gov/2.1/phenPlanetOscillation.owl#ENSO> <http://sweet.jpl.nasa.gov/2.1/phenSystem.owl#SystemStateChange>),3,ore_ont_13621.owl,1454,11430,5,11473
21824,21711,433558,573.50,1,2.68,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSG00000128272> <http://purl.obolibrary.org/obo/ENSEMBL_ENSFM00500000271462>),0,ore_ont_12387.owl,9,21438,2,20779
7170,7137,2271,35.53,1,0.50,SubClassOf(<http://purl.org/obo/owl/GO#GO_0060989> <http://purl.org/obo/owl/GO#GO_0060988>),0,ore_ont_9857.owl,5,7135,1,7099
9588,9602,23649,1165.11,2,11.35,SubClassOf(<http://purl.obolibrary.org/obo/MP_0009417> <http://purl.obolibrary.org/obo/MP_0004817>),1,ore_ont_4732.owl,10,10267,3,11613
9081,9100,700,31.76,1,0.35,SubClassOf(<http://www.cidoc-crm.org/cidoc-crm/E47_Spatial_Coordinates> <http://www.cidoc-crm.org/cidoc-crm/E28_Conceptual_Object>),0,ore_ont_2228.owl,9,9108,4,9143
9316,9283,8720,22.50,1,0.24,SubClassOf(<http://purl.obolibrary.org/obo/RS_0001754> <http://purl.obolibrary.org/obo/RS_0001743>),0,ore_ont_11619.owl,5,9290,2,9273
9134,9146,1254,7.23,1,0.08,SubClassOf(<http://lod.taxonconcept.org/ontology/2010_04_21/phylobase.owl#Eunotiales> <http://lod.taxonconcept.org/ontology/2010_04_21/phylobase.owl#Bacillariophyta>),0,ore_ont_13887.owl,5,9137,2,9133
7399,7357,30754,35.23,1,0.48,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSCING00000014427> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-7719_14q>)),0,ore_ont_12802.owl,4,7361,1,7329
7029,7002,203,37.45,1,0.53,SubClassOf(<http://www.owl-ontologies.com/Ontology1324330201.owl#Properties> <http://www.absoluteiri.edu/RELAPPROXC64>),0,ore_ont_2036.owl,4,7035,1,7076
7309,7438,35876,69.01,1,0.94,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSGALG00000005629> <http://purl.obolibrary.org/obo/SO_0001217>),0,ore_ont_964.owl,3,7359,1,7331
11498,11629,21702,69.55,2,0.60,SubClassOf(<http://purl.obolibrary.org/obo/MP_0009280> <http://purl.obolibrary.org/obo/MP_0001919>),3,ore_ont_11452.owl,14,11577,5,11604
22238,22609,1169399,263.65,1,1.17,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00316393> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/57dc1631-dc30-4405-8c59-c6af4b1e4221_gaz.obo#partial_overlaps> <http://purl.obolibrary.org/obo/GAZ_00316323>)),0,ore_ont_11395.owl,20,22531,1,22748
7605,7651,45314,133.06,1,1.76,SubClassOf(<http://purl.obolibrary.org/obo/NCBI_Gene_114548> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> <http://purl.obolibrary.org/obo/HP_0000408>)),0,ore_ont_16559.owl,42,7552,1,7401
7110,7136,1524,15.01,1,0.21,SubClassOf(<http://purl.obolibrary.org/obo/GO_0060233> <http://purl.obolibrary.org/obo/GO_0060232>),0,ore_ont_11009.owl,5,7127,1,7136
13804,13520,282524,158.00,1,1.15,SubClassOf(<http://purl.obolibrary.org/obo/SO_0001230> <http://purl.obolibrary.org/obo/SO_0000250>),0,ore_ont_1579.owl,111957,13702,1,13782
9015,9442,276566,214.01,1,2.32,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_FBgn0040600> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/UBERON_0000994>)),0,ore_ont_14607.owl,64,9220,1,9203
9098,9086,427,34.02,1,0.37,SubClassOf(<http://purl.obolibrary.org/obo/sep_00049> <http://purl.obolibrary.org/obo/sep_00047>),0,ore_ont_6735.owl,5,9111,2,9150
22024,21964,28658,78.16,11,0.36,SubClassOf(<http://purl.obolibrary.org/obo/FYPO_0000343> <http://www.absoluteiri.edu/RELAPPROXC6214>),11,ore_ont_935.owl,240,21952,13,21869
9155,9065,174,46.18,1,0.51,SubClassOf(<http://www.lexinfo.net/lmf#Lemma> <http://www.lexinfo.net/lmf#LMFClass>),0,ore_ont_9509.owl,5,9116,2,9128
12711,12668,172388,1102.66,1,9.15,SubClassOf(<http://purl.obolibrary.org/obo/WB_WBGene00002056> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0040011>))),0,ore_ont_2253.owl,155394,12053,1,10780
9387,9360,11046,14.80,1,0.16,SubClassOf(<http://purl.org/obo/owl/IEV#IEV_0002087> <http://purl.org/obo/owl/IEV#IEV_0000025>),0,ore_ont_8641.owl,5,9377,2,9384
9191,9245,3706,27.39,2,0.30,SubClassOf(<http://purl.obolibrary.org/obo/PO_0006018> <http://purl.obolibrary.org/obo/PO_0025157>),1,ore_ont_5485.owl,74,9215,4,9210
7749,7977,75518,138.42,1,1.75,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSMUSG00000088854> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-10090_11>)),0,ore_ont_7256.owl,4,7908,1,7999
6946,6908,307,26.91,1,0.39,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC195> owl:Thing),0,ore_ont_10536.owl,1,6916,0,6894
6935,6935,898,26.56,1,0.38,SubClassOf(<http://purl.obolibrary.org/obo/PRIDE_0000013> <http://purl.obolibrary.org/obo/PRIDE_0000008>),0,ore_ont_10056.owl,3,6919,1,6889
9164,9112,2344,28.69,1,0.31,SubClassOf(<http://www.ebi.ac.uk/efo/swo/SWO_0000396> <http://purl.obolibrary.org/obo/snap#_MaterialEntity>),0,ore_ont_8135.owl,5,9145,2,9159
9136,9109,170,15.31,1,0.17,SubClassOf(<http://www.owl-ontologies.com/unnamed.owl#Relevancia_Desconfirmada> <http://www.owl-ontologies.com/unnamed.owl#Satisfeito_Insatisfeito>),0,ore_ont_9854.owl,7,9126,3,9135
9121,9159,630,29.02,2,0.32,SubClassOf(<http://purl.obolibrary.org/obo/AEO_0000211> <http://purl.obolibrary.org/obo/CARO_0000000>),2,ore_ont_11010.owl,14,9152,5,9178
9306,9367,7286,31.34,1,0.34,SubClassOf(<http://purl.obolibrary.org/obo/MA_0000639> <http://purl.obolibrary.org/obo/MA_0000001>),0,ore_ont_9646.owl,35,9332,6,9324
